"","SLA.13.comps"
"Wave_763",-49.626378458888
"Wave_764",-50.5913669696304
"Wave_765",-48.6071924332407
"Wave_766",-46.1974925078208
"Wave_767",-44.5348613970428
"Wave_768",-43.1334724290596
"Wave_769",-39.9055830291051
"Wave_770",-34.1988874480171
"Wave_771",-27.5281847446528
"Wave_772",-22.553705585849
"Wave_773",-23.5486346622868
"Wave_774",-27.2183157270138
"Wave_775",-29.3562601611128
"Wave_776",-27.0281532073886
"Wave_777",-24.5931623741461
"Wave_778",-23.9152966929382
"Wave_779",-24.3804465080102
"Wave_780",-23.4629814901307
"Wave_781",-20.162476336092
"Wave_782",-14.8557158842907
"Wave_783",-9.83519474458521
"Wave_784",-9.81925018448388
"Wave_785",-12.6830372161175
"Wave_786",-16.751991535438
"Wave_787",-20.5960493733654
"Wave_788",-24.0681710016138
"Wave_789",-23.153919065319
"Wave_790",-18.2183096137249
"Wave_791",-12.5304430862627
"Wave_792",-10.2223508474622
"Wave_793",-7.92501556118427
"Wave_794",-4.81846358258169
"Wave_795",-3.45620391930226
"Wave_796",-3.64519257649932
"Wave_797",-3.72779176509386
"Wave_798",-2.0165501855642
"Wave_799",2.78964419403106
"Wave_800",6.30967366720098
"Wave_801",9.07291252386251
"Wave_802",13.158974063522
"Wave_803",19.9517059172907
"Wave_804",21.9863993579311
"Wave_805",20.9313322393771
"Wave_806",23.584574926002
"Wave_807",25.4944451186443
"Wave_808",23.8584702066305
"Wave_809",19.2199335056195
"Wave_810",15.8672184112185
"Wave_811",14.0464448469347
"Wave_812",12.4974001546042
"Wave_813",10.7033940683526
"Wave_814",10.747029517894
"Wave_815",12.7395980462748
"Wave_816",15.9858166381733
"Wave_817",19.5301128036917
"Wave_818",23.7076911676649
"Wave_819",22.7499639093497
"Wave_820",21.4795084001058
"Wave_821",28.9293894139309
"Wave_822",28.3672506272462
"Wave_823",25.9367122654047
"Wave_824",26.2845882298332
"Wave_825",28.9403040651232
"Wave_826",26.3958433724085
"Wave_827",21.5493170216264
"Wave_828",19.8452401983415
"Wave_829",27.7549849474635
"Wave_830",28.6783195613458
"Wave_831",24.9432354591958
"Wave_832",23.881648490278
"Wave_833",26.5273602249953
"Wave_834",23.3320471945733
"Wave_835",17.8710661404725
"Wave_836",19.0360142290272
"Wave_837",18.3347960590069
"Wave_838",17.4435523599778
"Wave_839",16.5661187981512
"Wave_840",14.3744716164215
"Wave_841",17.034739420335
"Wave_842",21.0215862273461
"Wave_843",23.3515485359031
"Wave_844",24.4771226406239
"Wave_845",28.8816294846853
"Wave_846",31.4801886255415
"Wave_847",29.2816883941928
"Wave_848",31.4510492162181
"Wave_849",32.8391900439894
"Wave_850",33.6903687521609
"Wave_851",35.6763218764644
"Wave_852",37.933688508686
"Wave_853",40.4273301753839
"Wave_854",42.1945345491663
"Wave_855",42.3901086186171
"Wave_856",44.6404235570427
"Wave_857",48.5828881625644
"Wave_858",51.0997280568413
"Wave_859",47.8676384049497
"Wave_860",48.2037570526084
"Wave_861",50.8707714978958
"Wave_862",52.1768573964907
"Wave_863",47.7968841014052
"Wave_864",44.75306381039
"Wave_865",40.9129606099998
"Wave_866",35.8544363740688
"Wave_867",38.7509096606109
"Wave_868",39.3387259034055
"Wave_869",39.980671921196
"Wave_870",43.5007660121731
"Wave_871",38.2498308480058
"Wave_872",35.2299856675004
"Wave_873",34.3618654610529
"Wave_874",31.8247686326584
"Wave_875",36.7701184490503
"Wave_876",41.8721116985116
"Wave_877",41.7160048536299
"Wave_878",34.855653354238
"Wave_879",30.7348805281517
"Wave_880",29.6731591589265
"Wave_881",30.2597470386223
"Wave_882",30.3565020815922
"Wave_883",27.0432808444854
"Wave_884",26.8891826507006
"Wave_885",31.60073092038
"Wave_886",33.5127623939482
"Wave_887",32.9737086642029
"Wave_888",29.357530213248
"Wave_889",25.8677835319131
"Wave_890",33.4955807942456
"Wave_891",38.3543035718786
"Wave_892",39.1617808941695
"Wave_893",39.5654901230505
"Wave_894",46.2931342611481
"Wave_895",45.92297722073
"Wave_896",43.3191453011788
"Wave_897",47.6762589373505
"Wave_898",55.6224027542077
"Wave_899",59.0739845747246
"Wave_900",54.3447054824151
"Wave_901",43.5855101054973
"Wave_902",41.6406693461209
"Wave_903",42.022773186058
"Wave_904",43.8348307571197
"Wave_905",49.3348978013559
"Wave_906",50.6145185737471
"Wave_907",50.1760746121709
"Wave_908",49.3109693121163
"Wave_909",47.6492623683708
"Wave_910",47.0580714534174
"Wave_911",48.4195333973113
"Wave_912",49.8818614177175
"Wave_913",47.3715924878227
"Wave_914",43.6871652637206
"Wave_915",37.8650772164559
"Wave_916",30.9140192833158
"Wave_917",26.7629121021595
"Wave_918",22.7546447368632
"Wave_919",17.6207263341476
"Wave_920",13.459168526468
"Wave_921",16.7539910185532
"Wave_922",20.0940737342543
"Wave_923",19.273224235082
"Wave_924",14.1001743798148
"Wave_925",10.1644301362928
"Wave_926",2.62593046144053
"Wave_927",-1.22652232194779
"Wave_928",2.37538536414059
"Wave_929",2.39964584038625
"Wave_930",8.76150930804654
"Wave_931",16.5982661164646
"Wave_932",19.2416533609927
"Wave_933",17.1922851975849
"Wave_934",10.6213497990016
"Wave_935",6.39744526999689
"Wave_936",8.44159891932789
"Wave_937",6.0970782061804
"Wave_938",1.72558705492406
"Wave_939",-1.05164382079497
"Wave_940",-0.440418258714608
"Wave_941",-2.78094657778278
"Wave_942",-2.23768219367701
"Wave_943",-3.31206627608768
"Wave_944",-10.5976638071398
"Wave_945",-15.6981738760324
"Wave_946",-10.9840162167364
"Wave_947",-3.54804775308187
"Wave_948",-3.88916840243924
"Wave_949",-9.61465040973704
"Wave_950",-15.8660986656773
"Wave_951",-21.3989141404671
"Wave_952",-26.0928020330714
"Wave_953",-26.8438655159219
"Wave_954",-25.3039088748867
"Wave_955",-24.0514366258059
"Wave_956",-24.6632509509647
"Wave_957",-23.875927005668
"Wave_958",-20.9658291038415
"Wave_959",-17.7589512874878
"Wave_960",-16.961040985319
"Wave_961",-20.0856077207677
"Wave_962",-19.4194556601167
"Wave_963",-18.2941312705445
"Wave_964",-21.9631462393928
"Wave_965",-23.0838598350054
"Wave_966",-20.3607031243392
"Wave_967",-16.5838024195512
"Wave_968",-15.6826250620543
"Wave_969",-18.3946477187924
"Wave_970",-22.1190959462788
"Wave_971",-24.9671637654767
"Wave_972",-25.8774446906787
"Wave_973",-25.2402042699798
"Wave_974",-21.1657350898851
"Wave_975",-18.2575054603974
"Wave_976",-20.0929091097619
"Wave_977",-19.2018588645799
"Wave_978",-21.8499844187199
"Wave_979",-24.0082903610819
"Wave_980",-22.8641184536713
"Wave_981",-28.6952264308596
"Wave_982",-31.8971036575885
"Wave_983",-35.4765922269538
"Wave_984",-42.4400218675008
"Wave_985",-46.3951707134956
"Wave_986",-50.1011019843806
"Wave_987",-51.5057959890332
"Wave_988",-50.8022687911647
"Wave_989",-54.6855409568066
"Wave_990",-56.6193543171676
"Wave_991",-57.1305241507012
"Wave_992",-59.0400321566955
"Wave_993",-65.2965838541417
"Wave_994",-64.7986705786653
"Wave_995",-65.7274227385286
"Wave_996",-72.640328406416
"Wave_997",-79.0810401502544
"Wave_998",-82.5964067378791
"Wave_999",-82.8660749367462
"Wave_1000",-82.5853331496734
"Wave_1001",-52.7099860302275
"Wave_1002",-56.523981615106
"Wave_1003",-55.6617671442702
"Wave_1004",-52.4913523632847
"Wave_1005",-49.0308428377244
"Wave_1006",-44.5948877684325
"Wave_1007",-39.0059448430373
"Wave_1008",-35.4032423010983
"Wave_1009",-33.2941931532438
"Wave_1010",-32.2572750531458
"Wave_1011",-31.1291683336507
"Wave_1012",-29.8110929289612
"Wave_1013",-29.3842205282695
"Wave_1014",-28.0015486179616
"Wave_1015",-24.7676423170855
"Wave_1016",-23.6853191034611
"Wave_1017",-22.802060860186
"Wave_1018",-23.8059977543928
"Wave_1019",-25.373356021792
"Wave_1020",-26.1787860449846
"Wave_1021",-28.2746386392599
"Wave_1022",-31.1980015589965
"Wave_1023",-33.6101216879317
"Wave_1024",-38.3600321744829
"Wave_1025",-42.1224653231207
"Wave_1026",-45.6403374880754
"Wave_1027",-48.4280718933919
"Wave_1028",-50.7948712046905
"Wave_1029",-53.6166697217453
"Wave_1030",-56.1647900790822
"Wave_1031",-59.2919095320695
"Wave_1032",-61.640152615719
"Wave_1033",-64.2489322066219
"Wave_1034",-68.2795083326208
"Wave_1035",-72.7200512765184
"Wave_1036",-76.9928425978689
"Wave_1037",-81.6502151827271
"Wave_1038",-85.0005543646714
"Wave_1039",-85.9938465585106
"Wave_1040",-87.9167261843904
"Wave_1041",-89.5973297985985
"Wave_1042",-92.1055736919797
"Wave_1043",-94.3136528011757
"Wave_1044",-98.6952316933309
"Wave_1045",-102.46342666021
"Wave_1046",-106.159161225966
"Wave_1047",-108.889071488667
"Wave_1048",-109.226756074843
"Wave_1049",-111.374588033898
"Wave_1050",-114.103210778875
"Wave_1051",-116.046519831531
"Wave_1052",-119.081076476528
"Wave_1053",-121.190022232097
"Wave_1054",-122.773506622995
"Wave_1055",-123.31858509899
"Wave_1056",-123.467757676558
"Wave_1057",-122.475147248574
"Wave_1058",-121.45341769815
"Wave_1059",-120.788727147525
"Wave_1060",-118.599465584617
"Wave_1061",-117.034341246741
"Wave_1062",-114.498259907083
"Wave_1063",-109.881912811811
"Wave_1064",-106.987940246525
"Wave_1065",-102.903753195533
"Wave_1066",-98.3022618774714
"Wave_1067",-94.1449232713739
"Wave_1068",-88.7096265193311
"Wave_1069",-81.8666018571921
"Wave_1070",-75.1065631747278
"Wave_1071",-68.0144745176342
"Wave_1072",-60.2867393591862
"Wave_1073",-53.8186542429144
"Wave_1074",-47.8194028240649
"Wave_1075",-42.5333930889174
"Wave_1076",-37.6126745132179
"Wave_1077",-32.332540256703
"Wave_1078",-27.9839206304747
"Wave_1079",-24.766090104989
"Wave_1080",-20.7175695151897
"Wave_1081",-16.2940806129111
"Wave_1082",-11.823611304795
"Wave_1083",-7.1878163136228
"Wave_1084",-1.30186982287642
"Wave_1085",3.70816841125828
"Wave_1086",7.63418996913316
"Wave_1087",12.6210761214556
"Wave_1088",18.085642029121
"Wave_1089",24.4260123422349
"Wave_1090",31.4816486460988
"Wave_1091",36.8857382402898
"Wave_1092",41.2530186996948
"Wave_1093",44.8010223034018
